,0
0,6
1,2
2,4
3,0
4,5
5,9
6,2
7,0
8,9
9,5
10,3
11,1
12,4
13,6
14,1
15,8
16,5
17,6
18,3
19,8
20,2
21,0
22,2
23,7
24,9
25,3
26,7
27,5
28,9
29,2
30,0
31,3
32,7
33,5
34,0
35,6
36,0
37,3
38,3
39,6
40,7
41,8
42,7
43,0
44,8
45,2
46,2
47,4
48,2
49,4
50,9
51,6
52,0
53,4
54,0
55,9
56,2
57,0
58,8
59,5
60,8
61,4
62,5
63,6
64,5
65,7
66,3
67,7
68,3
69,9
70,5
71,9
72,4
73,0
74,4
75,7
76,8
77,0
78,7
79,7
80,7
81,7
82,0
83,1
84,9
85,7
86,2
87,2
88,1
89,0
90,5
91,7
92,9
93,5
94,8
95,4
96,3
97,3
98,7
99,9
100,3
101,9
102,4
103,8
104,0
105,6
106,2
107,0
108,9
109,8
110,3
111,9
112,5
113,9
114,9
115,9
116,4
117,4
118,7
119,5
120,0
121,7
122,5
123,3
124,8
125,6
126,4
127,4
128,7
129,3
130,6
131,6
132,7
133,5
134,1
135,9
136,3
137,9
138,7
139,3
140,7
141,7
142,7
143,3
144,5
145,8
146,8
147,2
148,5
149,3
150,0
151,5
152,9
153,4
154,5
155,0
156,8
157,2
158,2
159,2
160,9
161,9
162,0
163,7
164,0
165,3
166,7
167,7
168,5
169,9
170,4
171,3
172,5
173,0
174,0
175,5
176,7
177,2
178,4
179,9
180,2
181,0
182,8
183,7
184,4
185,4
186,5
187,1
188,3
189,7
190,6
191,5
192,4
193,4
194,6
195,4
196,8
197,9
198,7
199,8
200,7
201,0
202,7
203,8
204,2
205,3
206,7
207,8
208,8
209,5
210,4
211,3
212,2
213,8
214,3
215,4
216,7
217,0
218,2
219,4
220,2
221,4
222,0
223,5
224,6
225,2
226,0
227,0
228,8
229,5
230,6
231,8
232,9
233,2
234,5
235,6
236,4
237,8
238,9
239,2
240,5
241,7
242,4
243,7
244,7
245,5
246,2
247,0
248,2
249,6
250,2
251,8
252,8
253,3
254,7
255,2
256,1
257,5
258,5
259,5
260,7
261,0
262,4
263,7
264,3
265,1
266,2
267,4
268,9
269,3
270,0
271,5
272,5
273,5
274,5
275,8
276,2
277,7
278,9
279,7
280,9
281,9
282,5
283,0
284,9
285,8
286,9
287,7
288,0
289,8
290,8
291,2
292,9
293,5
294,9
295,0
296,7
297,0
298,1
299,4
300,3
301,0
302,8
303,3
304,9
305,8
306,5
307,9
308,4
309,4
310,9
311,3
312,6
313,9
314,9
315,9
316,2
317,5
318,0
319,3
320,3
321,4
322,3
323,5
324,4
325,7
326,8
327,7
328,3
329,6
330,2
331,7
332,3
333,5
334,0
335,8
336,4
337,9
338,7
339,2
340,8
341,0
342,3
343,3
344,2
345,7
346,0
347,1
348,1
349,0
350,9
351,3
352,3
353,5
354,7
355,9
356,6
357,2
358,3
359,3
360,4
361,6
362,2
363,3
364,0
365,7
366,4
367,0
368,5
369,3
370,0
371,2
372,9
373,3
374,8
375,6
376,8
377,4
378,3
379,7
380,2
381,7
382,9
383,5
384,9
385,0
386,2
387,5
388,5
389,7
390,8
391,3
392,9
393,1
394,0
395,2
396,9
397,5
398,0
399,7
400,9
401,7
402,0
403,1
404,2
405,9
406,9
407,4
408,5
409,6
410,2
411,4
412,5
413,0
414,2
415,0
416,7
417,9
418,8
419,4
420,7
421,5
422,7
423,3
424,5
425,0
426,3
427,4
428,0
429,2
430,9
431,5
432,3
433,7
434,6
435,5
436,7
437,0
438,7
